Narratives,Description
Narrative-1,Metal leaked from slag zone of overflow spout area of tundish number 6 around 12.30 pm at CC2. Sequence number 22 was opened in the tundish. Ladle was closed and tundish car was placed to emergency position as per SOP. Metal was poured in emergency pit with necessary precaution. Fire brigade was called as per protocol. No injury or property damage apart from damage to tundish shell. Caster was started after outage of 3.5 hr.
Narrative-2,"A crane at a construction site is engaged to lift concrete slabs. The weights of some of the slabs are beyond the lifting capacity of the crane. The crane hook might break while lifting these heavy slabs, resulting in the fall of the load and broken hook. This may also result in injury to workers working nearby."
Narrative-3,"The supervisor was coming from office and had to go outside works through Main gate to attend meeting, when he reached near Engineering services, in the mean time a truck coming from procurement and had to go main gate for exit, the car collided with the truck, in this collision no injury took place and car right rear side got badly damaged. Truck driver Medical test was done at hospital and alcohol level found normal. "
Narrative-4,"A car moving on the left lane of the road is taking a right turn from the crossing without the indicator on. At the same time, a bike is coming at high speed on the right lane of the road. The biker can suddenly apply the brake to avoid the collision at the crossing, and the biker may lose his balance and fall off the bike. He may suffer major injuries."
Narrative-5,"The car and sumo was coming from Diamond crossing toward CIP Traffic signal, the timer of the signal was not functioning and the green light suddenly changed to Red. The car was moving ahead , as the signal turned red, the car applied brake and the sumo coming from behind also took sudden brake but it dashed with the car. No injury only car and sumo got damaged. Medical examination of the sumo driver was done and was fit for duty."
Narrative-6,"The sulfuric acid tank had been empty due to a stock out situation. Unloading of acid from a tanker to the tank was in progress. After the tank was filled to about 65%, sulfuric acid started spurting out from a major leakage in the lower flange of the externally mounted level gauge. Splashes due to the discharge could have caused major burn injuries to the onlookers. Also the fumes generated could have caused respiratory problems to the onlookers."
Narrative-7,"When crane 1 was lifting the ladle from combined car 1, the north side of crane's hoist was not properly engaged to the ladle. The crane operator lifted the ladle in this condition as it was not visible to him. After realizing this, the operator tried to place the ladle on the combined car slowly. During placement of ladle, the crane hook slipped and the ladle fell in the combined car causing metal spillage and damage to the car."
Narrative-8,"Poor housekeeping as materials were lying scattered throughout the area. Oxygen cylinders that were being used were lying in a horizontal position. As a result, there is danger of gas leakage and cylinder bursting. Also materials lying scattered created obstructions, as a result the workers could slip, trip and fall. "
Narrative-9,"Raw water reservoir and ECR building was audited. Following findings were communicated to the team. It was observed that scaffolding material is placed haphazardly on the pathway near the inclined dyke wall. It was in violation of procedures and created obstructions, as a result the workers could trip and fall down and have injury."
Narrative-10,3 persons of electrical subcontractor were engaged in cable laying job at Furance-1 near electrical spares storage area found working inside furnace cellar area without carrying  CO gas detector . During interrogation found 2 persons new for this area and not aware with CO gas hazards .
